traffic_class,place,date,time,lat,lng
free flow,Lagos Abeokuta,2022-12-16,06:35:51,6.5243793,3.3792057
breakdown,Ijora,2022-12-16,06:43:22,6.473953,3.356525
breakdown,Iganmu,2022-12-16,06:43:22,6.4846306,3.3514863
accident,Ojuwoye,2022-12-16,07:07:32,6.535852999999999,3.3558951
accident,Isolo road,2022-12-16,07:07:32,6.5236758,3.2707481
breakdown,Bonny Camp roundabout,2022-12-16,07:10:44,6.4370489,3.4073982
heavy traffic,Old BRT,2022-12-16,07:14:21,6.4660882,3.5615853
heavy traffic,Agidingbi,2022-12-16,07:14:22,6.623137799999999,3.356525
free flow,Ogba,2022-12-16,07:14:22,6.625188199999999,3.3441475
free flow,Odo-eran,2022-12-16,07:14:22,6.507346,3.32512
breakdown,Iyana Oworo,2022-12-16,07:18:01,6.545401999999999,3.398535
breakdown,Ogudu.,2022-12-16,07:18:01,6.574910699999999,3.3918106
heavy traffic,Alapere,2022-12-16,09:57:10,6.5909029,3.3918106
heavy traffic,Obalende bridge,2022-12-16,09:57:11,6.4483221,3.410724
heavy traffic,Agidingbi,2022-12-16,11:00:20,6.623137799999999,3.356525
heavy traffic,Lateef Jakande Road,2022-12-16,11:00:20,6.6247226,3.3530963
heavy traffic,Ojodu,2022-12-16,11:00:20,6.6336683,3.3573431
heavy traffic,Ikoyi Marriage Registry,2022-12-16,11:37:04,6.449999999999999,3.433333
heavy traffic,Falomo,2022-12-16,11:37:04,6.442919,3.4233369
heavy traffic,Obalende bridge,2022-12-16,11:37:05,6.4483221,3.410724
heavy traffic,Ilubinrin.,2022-12-16,11:37:05,6.4707463,3.1654003
heavy traffic,Ire Akari,2022-12-16,15:33:16,6.5248766,3.3218648
heavy traffic,Ikate,2022-12-16,16:01:15,6.507242499999999,3.3451358
heavy traffic,Apakun,2022-12-16,16:15:07,6.5488027,3.3373058
heavy traffic,Nahco,2022-12-16,16:15:07,6.5693983,3.3207813
heavy traffic,Asa-afariogun,2022-12-16,16:15:09,6.5465125,3.3292339
heavy traffic,Ajibade babatola,2022-12-16,16:15:09,6.5444183,3.321417
heavy traffic,Itamaga,2022-12-16,16:23:35,6.6321593,3.5353721
heavy traffic,LASUSTECH gate,2022-12-16,16:23:35,6.6463693,3.517462
heavy traffic,Itamaga,2022-12-16,16:23:35,6.6321593,3.5353721
heavy traffic,Isiwu,2022-12-16,16:23:36,6.6586441,3.6192473
free flow,Itamaga,2022-12-16,16:23:37,6.6321593,3.5353721
heavy traffic,Isheri Olowora,2022-12-16,16:35:37,6.6405451,3.3711008
heavy traffic,Excellence hotel.,2022-12-16,16:35:37,6.6351083,3.3448296
heavy traffic,Ogba,2022-12-16,16:35:38,6.625188199999999,3.3441475
heavy traffic,Excellence hotel,2022-12-16,16:35:38,6.6351083,3.3448296
heavy traffic,Awoyaya,2022-12-16,16:46:03,6.4652268,3.7051201
free flow,Agbotikuyo,2022-12-16,16:56:36,6.6252948,3.3133543
heavy traffic,Capitol road,2022-12-16,16:56:36,6.6153407,3.3242223
heavy traffic,Oniwaya,2022-12-16,16:56:37,6.6175593,3.3203396
heavy traffic,Ikeja,2022-12-16,16:56:37,6.601838,3.3514863
heavy traffic,Oba Akran road,2022-12-16,16:56:37,6.6077243,3.3364239
free flow,Oba Akran,2022-12-16,16:56:37,6.6112464,3.340151
heavy traffic,Bonny Camp,2022-12-16,17:21:17,6.4361178,3.4061781
heavy traffic,Ahmadu Bello way,2022-12-16,17:21:17,6.431035,3.4088872
heavy traffic,Eko Atlantic,2022-12-16,17:21:17,6.410497400000001,3.415752
heavy traffic,Eko Hotel,2022-12-16,17:21:32,6.5243793,3.3792057
heavy traffic,Bonny Camp,2022-12-16,17:21:32,6.4361178,3.4061781
heavy traffic,Iyana School,2022-12-16,17:26:12,6.4619141,3.1578875
heavy traffic,Owode Onirin,2022-12-16,17:26:34,6.6106693,3.4133252
heavy traffic,Owode Elede,2022-12-16,17:26:34,6.604036499999999,3.4036659
heavy traffic,Ijora Oloopa,2022-12-16,17:30:37,6.468532,3.3716443
heavy traffic,Sifax,2022-12-16,17:30:37,6.4380774,3.3641235
heavy traffic,Apapa,2022-12-16,17:30:37,6.428651899999999,3.3691241
free flow,Akinogun,2022-12-16,17:56:02,6.597519999999999,3.293526
free flow,Ile Epo Alhaji,2022-12-16,17:56:32,6.6350513,3.3018154
free flow,Abule Odu,2022-12-16,17:56:32,6.586424999999999,3.285345
free flow,Isheri roundabout,2022-12-16,17:56:44,6.5760587,3.2809749
free flow,Ile Epo Alhaji,2022-12-16,17:56:44,6.6350513,3.3018154
heavy traffic,Falomo bridge,2022-12-16,18:01:08,6.4422191,3.4264503
heavy traffic,Ogudu,2022-12-16,18:01:25,6.574910699999999,3.3918106
heavy traffic,Alapere,2022-12-16,18:01:25,6.5909029,3.3918106
heavy traffic,Idiroko,2022-12-16,18:08:16,6.6401727,2.7530936
heavy traffic,Inwards Oba Akran,2022-12-16,18:08:16,6.6077243,3.3364239
free flow,Oba Akinjobi,2022-12-16,18:08:42,6.5851443,3.3470727
heavy traffic,Olowopopo,2022-12-16,18:17:27,6.6295442,3.3648482
heavy traffic,Ikeja,2022-12-16,18:18:00,6.601838,3.3514863
heavy traffic,Ikeja,2022-12-16,18:18:00,6.601838,3.3514863
heavy traffic,Lateef Jakande road,2022-12-16,18:18:11,6.6247226,3.3530963
heavy traffic,Agidingbi,2022-12-16,18:18:11,6.623137799999999,3.356525
heavy traffic,Amara Olu.,2022-12-16,18:18:11,6.6264818,3.3558085
free flow,Wempco,2022-12-16,18:18:31,6.6300992,3.345488
free flow,Wempco,2022-12-16,18:18:31,6.6300992,3.345488
heavy traffic,Sheraton link bridge,2022-12-16,18:25:24,6.5845986,3.3612061
heavy traffic,Opebi Road,2022-12-16,18:25:24,6.5897006,3.361005
heavy traffic,Opebi-Welfare link bridge,2022-12-16,18:25:24,6.589373399999999,3.3613958
free flow,kudirat Abiola Way,2022-12-16,18:25:47,6.5992286,3.3658715
free flow,Kudirat Abiola Way,2022-12-16,18:25:58,6.5992286,3.3658715
heavy traffic,Eko bridge,2022-12-16,18:50:16,6.462522099999999,3.3864048
heavy traffic,Onipanu,2022-12-16,18:50:28,6.5375833,3.3604924
heavy traffic,Independence Tunnel,2022-12-16,18:50:28,6.571062,3.3675362
heavy traffic,Kosofe,2022-12-16,18:50:28,6.6201123,3.4094629
heavy traffic,Owode Onirin,2022-12-16,18:50:28,6.6106693,3.4133252
heavy traffic,Mashalashi,2022-12-16,19:43:04,6.4164153,2.887524
heavy traffic,Idioro,2022-12-16,19:43:04,6.521866999999999,3.356525
heavy traffic,Ojuwoye,2022-12-16,19:43:04,6.535852999999999,3.3558951
heavy traffic,Oshodi,2022-12-16,19:43:04,6.535498,3.3086778
heavy traffic,Ikeja Along,2022-12-16,19:43:14,6.59408,3.33625
heavy traffic,Alakuko,2022-12-16,19:43:27,6.681121099999999,3.2646492
heavy traffic,Abule Egba - Ajegunle,2022-12-16,19:50:48,6.6483728,3.2991753
heavy traffic,Abule Egba,2022-12-16,19:51:54,6.6483728,3.2991753
accident,Owode Elede,2022-12-17,06:10:11,6.604036499999999,3.4036659
heavy traffic,Owode Onirin,2022-12-17,06:10:13,6.6106693,3.4133252
free flow,Iyana School,2022-12-17,06:10:14,6.4619141,3.1578875
free flow,Fagba intersection,2022-12-17,06:49:42,6.65764,3.3244683
free flow,Ishaga round about,2022-12-17,06:49:42,6.5171179,3.3534544
free flow,Ishaga round about,2022-12-17,06:49:42,6.5171179,3.3534544
heavy traffic,Fagba intersection,2022-12-17,06:49:43,6.65764,3.3244683
heavy traffic,Pencinema,2022-12-17,06:49:43,6.627953499999999,3.3245996
free flow,Alakuko,2022-12-17,06:55:41,6.681121099999999,3.2646492
breakdown,Idiroko,2022-12-17,08:39:12,6.6401727,2.7530936
heavy traffic,Iyana School,2022-12-17,15:17:54,6.4619141,3.1578875
heavy traffic,Owode Elede,2022-12-17,15:17:54,6.604036499999999,3.4036659
heavy traffic,Owode Onirin,2022-12-17,15:17:54,6.6106693,3.4133252
free flow,Leaving Owode Onirin,2022-12-17,15:17:54,6.6106693,3.4133252
breakdown,Jonathan Coker Rd,2022-12-17,15:37:35,6.6577269,3.3184766
free flow,Iyanaworo,2022-12-17,16:01:43,6.545401999999999,3.398535
free flow,Gbagada Express Way,2022-12-17,16:01:43,6.5512359,3.3917632
heavy traffic,Isheri Olowora,2022-12-17,16:34:10,6.6405451,3.3711008
heavy traffic,Odo Eran,2022-12-17,16:34:11,6.507346,3.32512
heavy traffic,Asa-afariogun,2022-12-17,16:44:00,6.5465125,3.3292339
heavy traffic,Ajibade Babatola,2022-12-17,16:44:01,6.5444183,3.321417
free flow,Hollandia Way,2022-12-17,16:44:02,6.5414645,3.3257295
free flow,Osolo-Way,2022-12-17,16:44:02,6.5399002,3.3328098
free flow,Apakun,2022-12-17,16:44:02,6.5488027,3.3373058
free flow,NAHCO,2022-12-17,16:44:02,6.5693983,3.3207813
heavy traffic,NAHCO,2022-12-17,16:44:02,6.5693983,3.3207813
