,date,content,sentiment,traffic_class,place
0,2023-02-09 07:12:43+00:00,"Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     ",Positive,free flow,"['Acme junction', 'Agidingbi', 'Cadbury junction', 'Mobil junction']"
1,2023-02-09 07:18:48+00:00,"Approaching Lekki conservation centre is busy towards Chevron, Igbo efon and Jakande due to morning rush.",Positive,heavy traffic,"['Lekki conservation', 'Chevron']"
2,2023-02-09 07:18:49+00:00,Connecting Marwa from Ikate is good Marwa back to Ajah proper is good,Positive,free flow,"['Marwa', 'Ikate', 'Marwa']"
3,2023-02-09 07:29:07+00:00,Cele inward Cele/ijesha fly over bridge is busy but moving steadily due to construction work at the other side of Cele,Positive,heavy traffic,"['Cele inward', 'Cele/ijesha fly over bridge']"
4,2023-02-09 07:29:08+00:00,Movement from Cele inward Ago roundabout is busy due to alternation at the junction.,Positive,heavy traffic,"['Cele', 'Ago roundabout']"
5,2023-02-09 07:29:08+00:00,Vehicular  movement from Ago roundabout inward Apata enroute Transformer to Ilasa is also busy due to early morning rush.,Positive,heavy traffic,"['Ago roundabout', 'Apata']"
6,2023-02-09 07:29:08+00:00,Movement from Ago roundabout inward pako/chemist is good,Positive,free flow,['Ago roundabout']
7,2023-02-09 07:29:08+00:00,"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,"['Oke-afa', 'Pako', 'Kogberegbe', 'Ishaga', 'College/Aye junction']"
8,2023-02-09 07:29:09+00:00,"Connecting Aye inward limca, Laspotech, Daleko is good to go",Positive,free flow,['Aye']
9,2023-02-09 07:29:09+00:00,"Vehicular movement from 5star inward Iyana isolo enroute Ilasa, Cele inward Ijesha is also good on  the main carriage way and the service lane",Positive,free flow,"['5star', 'Iyana isolo', 'Ilasa']"
10,2023-02-09 07:52:10+00:00,Abule egba inward Charity is free Charity to Abattoir enroute Emmanuel is gtg,Positive,free flow,"['Abule egba', 'Charity', 'Abattoir']"
