date,content,sentiment_result,polarity,subjectivity,sentiment
2022-12-16 06:35:51+00:00,"Return journey from Egbeda to connect Lagos Abeokuta express way as well as Dopemu bridge inward Swipha, Oniwaya, Agbotikuyo, axis is encouraging.         ","{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
2022-12-16 06:40:14+00:00,"        A broken down 40ft container by Fagbems filling station inw Iyana Ipaja having turn table issue, effort is ongoing by the driver to evacuate it. Traffic is not looking bad at the moment with men doing the needful. ","{'polarity': -0.4185185185185185, 'subjectivity': 0.4518518518518519, 'sentiment': 'Negative'}",-0.4185185185185185,0.4518518518518519,Negative
2022-12-16 06:43:22+00:00,"        A truck laden with loaded 40ft container broke down at Ijora inward Alaka road by Iganmu, effort on for its evacuation while our officers are on scene managing the situation effectively.          ","{'polarity': 0.2222222222222222, 'subjectivity': 0.5444444444444445, 'sentiment': 'Positive'}",0.2222222222222222,0.5444444444444445,Positive
2022-12-16 07:07:32+00:00,        An overnight articulated  truck loaded with plywoods skidded off the road and having its contents spilled on the road at Ojuwoye inward Isolo road. The entire corridor for vehicular movement trying to connect Isolo road  has ,"{'polarity': 0.0, 'subjectivity': 0.625, 'sentiment': 'Neutral'}",0.0,0.625,Neutral
2022-12-16 07:08:12+00:00," The owners are yet to be sighted, while LRU has been contacted for possible recovery and evacuation. Traffic managers on ground doing the needful at the incidence scene.          ","{'polarity': 0.0, 'subjectivity': 1.0, 'sentiment': 'Neutral'}",0.0,1.0,Neutral
2022-12-16 07:10:44+00:00,        A broken down 40ft loaded trailer inward Bonny Camp roundabout having shaft problem. Effort is on for recovery while our officers are on scene doing the needful. Please drive with caution on approach.       ,"{'polarity': -0.0851851851851852, 'subjectivity': 0.5296296296296297, 'sentiment': 'Negative'}",-0.0851851851851852,0.5296296296296297,Negative
2022-12-16 07:14:21+00:00,        Slow movement from New garage inward Old BRT park. Better movement inward Otedola. On the return trip from Otedola inward 2nd Oando is slow due to fuel queue. Better movement inward Kara.,"{'polarity': 0.06392045454545453, 'subjectivity': 0.35369318181818177, 'sentiment': 'Positive'}",0.06392045454545453,0.35369318181818177,Positive
2022-12-16 07:14:22+00:00,River valley inward VIS is good aside massive turning and fuel queue by Bovas filling station. Better movement inward Omole gate. Slow from Hotel bus stop inward Omole junction to connect Agidingbi due to alternation.,"{'polarity': 0.15499999999999997, 'subjectivity': 0.575, 'sentiment': 'Positive'}",0.15499999999999997,0.575,Positive
2022-12-16 07:14:22+00:00,"Omole inward Excellence, Ogba, Odo-eran to connect Wemco is good aside alternation delays. Good movement on the return trip from Odo-eran back to omole, Grammar school.","{'polarity': 0.4666666666666666, 'subjectivity': 0.4000000000000001, 'sentiment': 'Positive'}",0.4666666666666666,0.4000000000000001,Positive
2022-12-16 07:14:23+00:00,"Slow movement from Chicken republic inward VIS due to massive turning, alternation and fuel queue at NNPC. Better movement inward Isheri Olowora.        ","{'polarity': -0.10499999999999998, 'subjectivity': 0.6449999999999999, 'sentiment': 'Negative'}",-0.10499999999999998,0.6449999999999999,Negative
2022-12-16 07:18:01+00:00,        A broken down Honda with tyre problem at Iyana Oworo inward Ogudu. Effort is on for recovery while our officers are on ground doing the needful.  Please drive with caution on approach.       ,"{'polarity': -0.2777777777777778, 'subjectivity': 0.34444444444444444, 'sentiment': 'Negative'}",-0.2777777777777778,0.34444444444444444,Negative
2022-12-16 09:07:32+00:00,"   Make wearing your seatbelt a habit. The next time you get in a car, remember to buckle up.              ","{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
2022-12-16 09:43:55+00:00,    In and out of Awolowo connecting Falomo roundabout is on the high side due to an event going on at Church Of The Assumption.      ,"{'polarity': 0.0175, 'subjectivity': 0.45749999999999996, 'sentiment': 'Positive'}",0.0175,0.45749999999999996,Positive
2022-12-16 09:57:09+00:00,     Good movement from Kara Inw New Garage.  New Garage inw Berger is slow.  Exiting Berger to connect Otedola down to Ojota bridge is free but slow towards China Town due to fuel queue.      ,"{'polarity': 0.06152146464646463, 'subjectivity': 0.4716224747474747, 'sentiment': 'Positive'}",0.06152146464646463,0.4716224747474747,Positive
2022-12-16 09:57:10+00:00,Leaving China is an appreciable movement enroute Alapere all the way down to Unilag Waterfront.  Onward journey Adekunle linking Adeniji is a slow moving traffic.       ,"{'polarity': -0.2277777777777778, 'subjectivity': 0.34444444444444444, 'sentiment': 'Negative'}",-0.2277777777777778,0.34444444444444444,Negative
2022-12-16 09:57:11+00:00,"Better movement leaving Adeniji inw Simpson bridge, Obalende bridge but slow connecting Onikan bridge enroute CMS bridge.         ","{'polarity': 0.09999999999999998, 'subjectivity': 0.44999999999999996, 'sentiment': 'Positive'}",0.09999999999999998,0.44999999999999996,Positive
2022-12-16 10:53:43+00:00,*FlashUpdate* Military Officers are carrying out their routine parade at Officer's Mess inw Bonny Camp and also at Flag House inward CMS with adverse effect on traffic at the moment.      ,"{'polarity': -0.05624999999999998, 'subjectivity': 0.3520833333333333, 'sentiment': 'Negative'}",-0.05624999999999998,0.3520833333333333,Negative
2022-12-16 10:53:44+00:00,This has affected traffic back to Ozumba Mbadiwe and also those coming from Obalende bridge. Traffic Managers are on ground doing the needful.        ,"{'polarity': 0.0, 'subjectivity': 0.0, 'sentiment': 'Neutral'}",0.0,0.0,Neutral
