content,sentiment,traffic_class,place,date,time
"Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     ",Positive,free flow,Acme junction,2023-02-09,07:12:43
"Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     ",Positive,free flow,Agidingbi,2023-02-09,07:12:43
"Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     ",Positive,free flow,Cadbury junction,2023-02-09,07:12:43
"Acme junction inward Agidingbi, Cadbury junction, Mobil junction, daily times down to Coca-cola junction is good to go.     ",Positive,free flow,Mobil junction,2023-02-09,07:12:43
"Approaching Lekki conservation centre is busy towards Chevron, Igbo efon and Jakande due to morning rush.",Positive,heavy traffic,Lekki conservation,2023-02-09,07:18:48
"Approaching Lekki conservation centre is busy towards Chevron, Igbo efon and Jakande due to morning rush.",Positive,heavy traffic,Chevron,2023-02-09,07:18:48
Connecting Marwa from Ikate is good Marwa back to Ajah proper is good,Positive,free flow,Marwa,2023-02-09,07:18:49
Connecting Marwa from Ikate is good Marwa back to Ajah proper is good,Positive,free flow,Ikate,2023-02-09,07:18:49
Connecting Marwa from Ikate is good Marwa back to Ajah proper is good,Positive,free flow,Marwa,2023-02-09,07:18:49
Cele inward Cele/ijesha fly over bridge is busy but moving steadily due to construction work at the other side of Cele,Positive,heavy traffic,Cele inward,2023-02-09,07:29:07
Cele inward Cele/ijesha fly over bridge is busy but moving steadily due to construction work at the other side of Cele,Positive,heavy traffic,Cele/ijesha fly over bridge,2023-02-09,07:29:07
Movement from Cele inward Ago roundabout is busy due to alternation at the junction.,Positive,heavy traffic,Cele,2023-02-09,07:29:08
Movement from Cele inward Ago roundabout is busy due to alternation at the junction.,Positive,heavy traffic,Ago roundabout,2023-02-09,07:29:08
Vehicular  movement from Ago roundabout inward Apata enroute Transformer to Ilasa is also busy due to early morning rush.,Positive,heavy traffic,Ago roundabout,2023-02-09,07:29:08
Vehicular  movement from Ago roundabout inward Apata enroute Transformer to Ilasa is also busy due to early morning rush.,Positive,heavy traffic,Apata,2023-02-09,07:29:08
Movement from Ago roundabout inward pako/chemist is good,Positive,free flow,Ago roundabout,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,Oke-afa,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,Pako,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,Kogberegbe,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,Ishaga,2023-02-09,07:29:08
"Vehicular movement from Oke-afa  enroute Pako, Kogberegbe, Ire akari junction, Ishaga, College inward Aye is busy  due to alternation at College/Aye junction  and early morning rush",Positive,heavy traffic,College/Aye junction,2023-02-09,07:29:08
"Connecting Aye inward limca, Laspotech, Daleko is good to go",Positive,free flow,Aye,2023-02-09,07:29:09
"Vehicular movement from 5star inward Iyana isolo enroute Ilasa, Cele inward Ijesha is also good on  the main carriage way and the service lane",Positive,free flow,Iyana isolo,2023-02-09,07:29:09
"Vehicular movement from 5star inward Iyana isolo enroute Ilasa, Cele inward Ijesha is also good on  the main carriage way and the service lane",Positive,free flow,Ilasa,2023-02-09,07:29:09
Abule egba inward Charity is free Charity to Abattoir enroute Emmanuel is gtg,Positive,free flow,Abule egba,2023-02-09,07:52:10
