pub_date,headline,article
12th March 2023,Gunmen kidnap nine in Abuja estate,"Gunmen have kidnapped no fewer than nine residents from Grow Homes Estate along Kuchibiyi in the Kubuwa area of the Federal Capital Territory.
The gunmen numbering about 20 were said to have stormed the estate around 11:30 pm on Friday.
A resident of the community who simply identified himself as Hassan told our correspondent on the phone that the victims were captured from two separate apartments in the estate.
He added that the incident had caused panic in the community.
 
He said, “Yesterday (Friday), at about 11:30 pm, some gunmen in their large numbers came to carry out an operation at Grow Homes Estate along Kuchibiyi. We heard the sound of gunshots, there was panic in the entire community as a result of the incident.  Related News   Zamfara police rescue 14 kidnap victims held 68 days  Four Nasarawa pupils rescued after 14-day captivity  Police rescue two of six abducted Nasarawa pupils   
“This morning, we went to the estate and we learnt the gunmen were about 20. They moved from one apartment to the other dispossessing residents of their belongings. They also kidnapped at least nine persons, including children and women from two apartments in the estate.
“They escaped through the bush which linked the community to Paze village. The police and the estate security have been searching the bush since morning to see if they can rescue the kidnapped residents.”   (adsbygoogle = window.adsbygoogle || []).push({});     
When contacted, the spokesperson for the police in Abuja, Josephine Adeh, confirmed the incident.
She added that the police and the estate security were combing the bushes in the area to ensure the victims were rescued."
11th March 2023,"Gunmen attack Abuja estate, kidnap nine","No fewer than nine residents have been kidnapped by gunmen at the Grow Homes Estate along Kuchibiyi in the Kubuwa area of the Federal Capital Territory.
The gunmen numbering about 20 were said to have stormed the estate around 11:30 pm on Friday.
A resident of the community who identified himself simply as Hassan told our correspondent on the phone that the victims were captured from two separate apartments in the estate.
He added that the incident had caused panic in the community.
 
He said,” Yesterday, at about 11:30 pm some gunmen in their large numbers came to carry out an operation at Grow homes estate along Kuchibiyi. We heard the sounds of gunshots, there was panic in the entire community as a result of the incident.
“This morning, we went to the estate and we learnt those gunmen were about 20. They moved from one apartment to the other dispossessing their belongings. They also kidnapped at least nine persons including children and women from two apartments in the estate.
“They escaped through the bush which linked the community to Paze village. The police and the estate security have been searching the bush since morning to see if they can rescue the kidnapped residents.   (adsbygoogle = window.adsbygoogle || []).push({});       Related News   Anger as gunmen kill 35 in Katsina, Kaduna  Gunmen kill village head in Kano   Gunmen abduct two wives, son of Taraba monarch   
When contacted, the spokesperson for the police in Abuja, SP Josephine Adeh, confirmed the incident.
She added the police and the estate security are combing the bushes in the area to ensure the victims are rescued.
Adeh said, “Upon receipt of the distress call, we immediately deployed our men to the scene. The suspects however abruptly suspended their operations and took some victims with them into the bush.
“Operatives of the Police and the estate security are still combing the bushes in the area to ensure they are rescued unhurt.”
She urged residents of the area not to panic, calling on them to help the police with credible information that could lead to the arrest of the assailants.
“We urge the residents to remain calm and assist with useful information that could lead to the swift arrest of these criminals,” Adeh added."
5th March 2023,"Gunmen kidnap Taraba monarch’s wives, son","Suspected gunmen have abducted the two wives and a son of the Chief of Sarkin Kudu in the Ibi Local Government Area of Plateau State, Dan-Salama Adamu.
This is coming barely three weeks after the two wives and five children of the Chief of Mutum-Biyu were abducted and murdered by bandits.
Family sources said the armed men invaded Adamu’s house on Friday when he was not around.
According to the sources, the gunmen shot sporadically before carrying the victims away to an unknown destination.
 
 Related News   Police foil kidnap attempt, kill two in Bauchi  Woman lures four-year-old to kidnappers, Rivers police arrest suspects  Kidnappers after US citizens in Nigeria – Embassy   
“The gunmen have yet to establish contact with anybody. We pray for the safety of the victims. For now, they have not contacted us, so we can’t talk of how much they are demanding for ransom.
“None of the victims’ phone numbers is going through, but we are trusting God for their safety,” a family member told our correspondent on the phone.
The Taraba State Police Public Relations Officer, DSP Usman Abdullahi, confirmed the incident, adding that some suspects had been arrested.   (adsbygoogle = window.adsbygoogle || []).push({});     
Abdullahi also said the arrested suspects were providing useful information to the police and efforts were on to rescue the victims and arrest the remaining suspects."
4th March 2023,Two Red Cross workers kidnapped in Mali,"Two workers with the International Committee of the Red Cross were kidnapped Saturday in Mali, the organisation’s Mali branch said on Twitter."
23rd February 2023,"Gunmen kidnap Imo monarch's wife, raze houses of APC, LP chairmen","Gunmen on Wednesday kidnapped the wife of the traditional ruler of Amuro autonomous community in the Okigwe Local Government Area of Imo State, Ugoeze Umugborogu.
Apart from kidnapping the monarch’s wife, the rampaging gunmen also burnt the country homes of the chairmen of All Progressives Congress and Labour Party in Amuro ward.
The development caused panic in the community as residents fled their homes.
A source who doesn’t want to be mentioned told our correspondent that the attackers set the houses ablaze as soon as they arrived at the compounds.
 
The source said ” Ugoeze Umugborogu, the wife of the late king of Amuro autonomous community, has been kidnapped.
“After kidnapping the woman, they went to the house of the Labour Party chairman in Amuro ward, Ifediora Umugborogu and razed it. The man and his family were away when they struck.  Related News   Election: God's wish is doing right thing, says Obi  Presidential poll: I'm challenging the process, not outcome, says Obi  Game-changer: How BVAS turned heavyweights to paperweights   
“They equally razed the house of the APC chairman in the ward. This is going out of hand. The government should come to our rescue.”   (adsbygoogle = window.adsbygoogle || []).push({});     
Okigwe LGA has in the last few months become a hotbed for criminal activities.
Just on Tuesday, some gunmen razed five houses in Amagu Ihube community in Okigwe LGA which included the houses of the state commissioner for youths and sports, Emeka Okoronkwo, a former Dean of the Law Faculty of the Imo State University, Nnamdi Obiaraeri, a retired Director of State Security Service, Nnaemeka Ngwu and two others.
Gunmen had last week razed the country homes of the Labour Party House of Assembly candidate for Okigwe LGA, Nnaemeka Obiaraeri and that of the Director General of the candidate of the Labour Party Okigwe North House of Representatives election, Okey Unam.
The spokesperson for the police in the state, Henry Okoye, told our correspondent that he had yet to be briefed on the latest incidents."
21st February 2023,Bandits kidnap Plateau female councillor,"A female councillor in Plateau State, Hannatu Bawa, has been abducted by bandits.
The councillor represents Kabwir-Fadar Ward in the Kanke Local Government Area of the state.
It was gathered that she was in her house located on Kabwir-Dawaki Road in the council area when the bandits stormed the community in the early hours of Tuesday and abducted her to an unknown destination.
A resident of the Kabwir community, Julius Godiya, confirmed the kidnapping of the female councillor to The PUNCH in Jos on Tuesday.
 
Godiya said, “It was around 3 am on Tuesday that the bandits came and abducted the female councillor.  Related News   236 Nigerians killed in three months  FCTA equips security agencies with new gadgets  Buhari promises to rid country of insecurity before leaving   
“She was sleeping in her house in Kabwir when she was kidnapped. Her abductors gained entrance into her apartment through the window which has no burglary proof and forcefully removed her through the window.
“Her door was still locked when community members gathered at her place during daybreak.”   (adsbygoogle = window.adsbygoogle || []).push({});     
Godiya added that the matter had been reported to security agents who later arrived the community.
The spokesman for the Plateau State Police Command, Alabo Alfred, also confirmed the incident when contacted.
He said, ” Yes, the command is aware of the abduction of the female councillor in Kanke LGA. We are on top of the situation because our officers and men have been deployed to the community and are working to rescue the victim from her abductors.”"
20th February 2023,Australian archaeologist kidnapped in Papua New Guinea,"An Australian archaeologist and several others have been kidnapped for ransom in Papua New Guinea, the country’s prime minister said Monday, warning the armed captors “there is no place to hide.”
Police and government officials said a group including academics and guides from Australia, New Zealand and Papua New Guinea were taken at gunpoint in the country’s rugged highlands early on Sunday.
The captors issued a ransom demand of roughly US$1 million and a 24-hour deadline, which has since been rescinded and the cash demand has dropped substantially.
Prime Minister James Marape said this was the first time such a ransom has been demanded.
 
The government is “treating this very, very seriously, we don’t want it to be a precedent for the future”, he said.
Papua New Guinea’s highlands are a sprawling expanse of jungle-cloaked hills where the central government and security forces have little sway.
In recent years, the regions have seen an increase in tribal warfare and modern weapons.   (adsbygoogle = window.adsbygoogle || []).push({});       Related News   Australia to spend $4.8bn on 2032 Olympic venues  Australia removes Chinese-made cameras from politicians' offices  Cyclone races towards Australia's remote Norfolk Island   
Marape added his government would “not tolerate” such criminality and “everything possible” is being done to free the group.
“I just want to inform those who are engaged in this one, there is no place to run, there is no place to hide in our country,” he said.
Local missionaries are said to be in contact with the captors and are negotiating the group’s release.
Australia’s government refused to comment publicly.
Canberra has previously argued that publicity around kidnapping cases can heighten the risk to those detained.
AFP"
18th February 2023,"Zamfara boy kidnaps mother, collects N30m ransom","The Zamfara State Police Command has arrested a 20-year-old boy for allegedly conniving with five others to abduct his mother and three others and collecting the sum of N30m as ransom.
The state police spokesperson, SP Mohammed Shehu,  while addressing journalists in Gusau, the state capital, on Friday, said the suspect, Thomas Yau, informed the police that N10m was paid by each of the kidnap victims, including his mother, totalling N30m ransom.
Shehu said, “On February 12, 2023, the Zamfara Police Command, through its community policing engagement, acted on intelligence information that led to the bursting of a kidnap syndicate and the arrest of six suspected kidnappers, who had been terrorising different villages in Kaduna, Kano and other neighbouring states, such as Zamfara and Sokoto.
“In the course of investigation, it was discovered that the suspects carried out a series of kidnappings, where an unspecified number of people were abducted and millions of naira collected as ransom.
 
 Related News   Police kill kidnapper, two terrorists in Delta, Katsina  Lagos woman set ablaze for kidnapping baby dies  Edo police kill suspected kidnapper, rescue four victims   
“Each suspect further narrated the number of kidnappings he participated in, as well as the role he played in each operation.
“Surprisingly, one of the suspects, Thomas Ya’u, confessed that sometime last year, he masterminded the kidnap of his biological mother and three others.
“They collected the sum of N30m from the relations as ransom, and in turn, he was given one million as his share.”   (adsbygoogle = window.adsbygoogle || []).push({});     
Shehu maintained that the case was under investigation and the suspects would be prosecuted."
8th February 2023,"Anambra hoodlums kill six villagers, kidnap six others","No fewer than six persons have lost their lives in the ongoing crisis between Omor and Anaku communities, in the Ayanmelu Local Government Area of Anambra State.
PUNCH Metro gathered that normal activities were going on when hoodlums suspected to be from Anaku community and led by one Maduneke, aka Vulture, stormed Omor community with dangerous weapons including guns, and allegedly shot at villagers.
During the invasion, the hoodlums, who allegedly killed six villagers during the sporadic shootings in the community, whisked no fewer than six persons to an unknown destination in Anaku community.
Our correspondent, during a visit to the affected community on Tuesday, observed residents, especially women and children fleeing the community over the fear of further attacks.
 
Speaking on the incident, a community leader, Peter Emeka, said the invaders, who were led by Maduneke, arrived in several motorcycles, adding that the whereabouts of the abducted victims had been unknown.
He added that the attackers also abducted six other young men and allegedly took them to a notorious shrine in Anaku community and that their whereabouts are still unknown.
He said, “Maduneke has been terrorising communities in Ayamelum, especially Omor community. When he arrived on Monday, February 6, with his gang members, many people in our community identified him because he is notorious for unleashing mayhem on people.   (adsbygoogle = window.adsbygoogle || []).push({});     
“The names of the victims of the latest attack include, Chibuko Anekwe, Johnson Chigbata, Esther Nwankwo, Iloabuchi Okonkwo, Chinedu Ogwuejiifor, Chibueze Okoye, and others. Their corpses have been deposited in two separate mortuaries.”
Our correspondent gathered that the corpses were deposited in Nigro mortuary, Omor, and at St. Mary’s Hospital mortuary, Ifite-Ogwari.
Contacted, the traditional ruler of Omor community, His Royal Majesty, Oranu Chidume, said the attack came as a surprise to members of the community, explaining that he just had a peace meeting with leaders of Anaku over the lingering dispute.
Chidume said, “I can recall that we have held a couple of peace meetings, and my people are very keen on seeing that peace reigns between us and our neighbours. In the most recent meeting, the leader of Anaku community, Anthony Ifeanya, who is the current Commissioner for Petroleum Resources in Anambra; Chief Livinus Onyenwe, who is the Transition Committee Chairman of Ayamelum; and Uche Okafor, who is the Speaker of the Anambra State House of Assembly, and member representing Ayamelum Constituency, were involved.  Related News   Pictorial: Fallen truck causes gridlock in Anambra  Soludo denies report of threat, conspiracy against Obi  #NigeriaElections2023: INEC declares Obi winner of presidential election in Anambra   
“The purpose of the meeting was to ensure that there was a lasting peace between Omor and Anaku. The meeting was fruitful, and we agreed to work together and do all that we can to ensure that there is peace, and that is why the attack on Monday came as a surprise to me.”
Chidume urged the state Governor, Prof. Chukwuma Soludo, as well as the state Commissioner of Police, Echeng Echeng, to act fast and bring the culprits to justice.
Reacting, Ifeanya, who also confirmed the attack, refuted the claim that the perpetrators were from Anaku community.        
He explained that Maduneke, who was linked to the attack, was not acting at the instance of the community, adding that a manhunt had been launched to arrest him so he could be handed to the law enforcement agency in the state.
He said, “Our community is also looking for him (Maduneke) everywhere to arrest him. Whenever we get hold of him, we will hand him over to the relevant agencies for necessary action. Our community and the whole of Ayamelum people are already tired of him.”
Also reacting to the development, the Chairman, Transition Committee of Ayamelum LGA, Livinus Onyenwe, while confirming the attack, said the relevant security agencies in the state had been contacted to intervene in the matter.
Contacted, the state Police Public Relations Officer, DSP Tochukwu Ikenga, said a manhunt had been launched to arrest the fleeing suspects involved in the attack, adding that the invaders allegedly killed six persons in the Omor community.
Ikenga said, “The Anambra State Police Command is on the manhunt for Maduneke and his cohorts, wielding Ak47 rifles in the early hours of Monday, February 6.
“According to information we received, the suspect and his cohorts without any provocation started shooting indiscriminately in Omor community, Anyamelum LGA, and murdered six persons and inflicted serious injuries on two others.
“The joint task force team comprising the police and military was deployed in the area. The presence of these security forces has reinforced the security of life and properties and enhanced the provision of law and order in the area.”   (adsbygoogle = window.adsbygoogle || []).push({});     
Ikenga said preliminary information revealed that the cause of the incident was a protracted existing communal dispute between Omor and Anaku communities in Anyamelum LGA."
26th January 2023,Gunmen kidnap traditional ruler in Kaduna,"Gunmen have abducted the District Head of Chawai in Kauru Local Government of Kaduna State, Chief Joshua Ahmadu.
Ahmadu’s abduction was confirmed on Wednesday by Mr Abel Adamu, President of the Chawai Development Association.
Adamu, in a statement signed by Mr Raphael Joshua, Public Relations Officer of CDA, said that the traditional ruler was kidnapped Tuesday night “by gunmen who invaded his house at Zambina.”
“It was reported that the kidnappers stormed the house of the traditional ruler in their numbers around 9:30 p.m. and took him away,” Adamu was quoted as saying.
 
The CDA President was further quoted as expressing dismay over the situation while assuring residents that CDA was working hard to ensure that the victim was released unhurt.
“Already, relevant authorities and heads of security operatives on special duty in the chiefdom have been duly informed and have already swung into action to rescue the traditional ruler.
“We are calling on all sons and daughters of Tsam land to pray for the safe return of the district head.”   (adsbygoogle = window.adsbygoogle || []).push({});       Related News   Anger as gunmen kill 35 in Katsina, Kaduna  Gunmen attack Abuja estate, kidnap nine  Kaduna APC gov candidate seeks women's access to opportunities   
The statement challenged the youths of the chiefdom to always take communal security seriously so as to avert such breaches.
“We have to be on our feet to ensure the land is safe.
“It’s unfortunate that at this critical time, the youths, who ought to be the communal force to guarantee security across communities, are not ready to work in collaboration with security personnel to secure the land,” he lamented.
The News Agency of Nigeria reports that the Tsam Chiefdom has suffered lots of abductions and attacks by bandits and kidnappers lately.
Some of the incidents have led to the loss of lives while large sums had also been paid to rescue kidnapped victims.
The CDA boss appealed to the government to direct security agencies to ensure that the district head was rescued and released “unconditionally”.
NAN learnt that the personnel of the Police Area Command in Kafanchan had since visited the family of the victim and assured relations of its readiness to “do everything possible” to rescue the traditional ruler."
