Pidgin Tweets,Sentiment
86' aye bin think say hin don cancel brescia zero for score sheet but var don show all man say na handball hin do before hin tear net.,negative
46' we don show again! wia parma hide those goals sef?,negative
half time goal neva show face for dis cup match but ref don fire whistle for half time.,negative
squad list na players wey dey ground for our thursday coppa italia match wit parma be dis! ️ sabi striker dzeko don chop suspension for dis one.,negative
️ sub our lass sub - nikola kalinic enta for perotti! 1-2,negative
half time demiral and ronaldo bin tear net early for di visitors as dem dey lead enta break.,negative
️ sub nicolo zaniolo don wounjur so dem carry am comot. cengiz under don enta for am.,negative
3' demiral don tear net for juventus. 🤦‍ 0⃣-1⃣,negative
"""we bin get 31 shots but di ball no wan gree enta net. we no play well at all, but we bin create enuf chance to take score like 2 or 3 goals."" - oga paulo fonseca yarn afta",negative
torino bin win 2-kondo as belotti score dia two goals. our next one go beta. forza roma!,negative
so una dull am throughout 2019. nobody reason say na dis pesin be roma pidgin admin,negative
"""you dey try tell me say thread don finish na why blue away jersey no dey again? na me you dey bobo wit dat lamba?""",negative
take cane 🥢 com epp us beat am,negative
"bros, you too dey do pass yoursef. take lipstick make up your mind!",negative
"art can be powerful, but we strongly disagree with the use of monkeys as images in the fight against racism and were surprised…",negative
44' chai! nawa o... una no go vex o. spal don take lead sha! 🤦‍️ 0 - 1,negative
"""we don get wetin we want - to qwalify - but i must use my church mind talk say we no play well. we know say e important say make we win but we no play wit sabiness today."" - oga paulo fonseca",negative
na florenzi touch di ball lass before e enta. na own goal...,negative
line up na like dis we go start match against for dis night europa league gbege! ️,negative
alaye jor jor jor,negative
dash am red card players dey show support for di campaign wey dey against domestic violence.,negative
roma pidgin admin dey call fifa lowkey say make dem cancel international break forever,negative
over vex dey worry italo rn our players wey go di function go carry di voltage com for serie a...,negative
55' chaaaaaaaaaaai! kolarov fire freekick chop bar!! 0⃣-0⃣,negative
full-time thuram tear net for dying minute to take win am for our opponents afta fazio score goal for di two posts dem.,negative
half-time own goal wey fazio score na hin still separate us for hia. second half go beta...,negative
35' borussia mönchengladbach don tear net as fazio put ball for hin own net. 1⃣-0⃣,negative
71' milik don score for napoli. notin spoil still. we move... 2 - 1,negative
as e dey hot veretout tear net wit penarity! no wasting of time! 2 - 0,negative
"napoli we dey enjoy beta possession and we don near post like 3 times but we still neva shoot ball put for target. anyhow yagayaga, dat goal dey com soon sha.",negative
*we dey un look dey pretend like say we no see di tweet* barce-what?,negative
"""my players get beta swagger. we all bin fight togeda and we try dey play our normal game go, even afta we chop red card."" - oga paulo fonseca",negative
na laidis we dey enta di new week...,negative
juss shake ontop am ...but wash your hand afta becos of dabaru wey still fresh for mind,negative
⏹️ full time wuru wuru penarity wey dem dash for dying minute make di match end for draw. we match on sha.,negative
94' 🤦‍️ ref don dash borussia penarity but na for face ball hit smalling o...,negative
we sef miss uefa champe like kilode,negative
why you go ask for follow back and you no even dey follow at all?,negative
no. roma pidgin admin no sabi operate iphone,negative
hayzzzz! wey you? carry your mata go give no give us bad luck join di one wey dey worry us...,negative
five minutes of wounjur time! make dat goal com o!!! 1⃣-1⃣,negative
83' olsen dey para today o! zaniolo play ball wey don almost enta but olsen dive stop am again! 1⃣-1⃣,negative
⏸ half time fess half no bad at all. pedro bin open goal for cagliari from penarity spot and ceppitelli score for hin net to eqwalise for roma.,negative
"️ sub 30' juss befor we eqwalise, diawara bin comot for antonucci becos of wounjur. 1⃣-1⃣",negative
"like di way wey liverpool and valencia sleep under am lass month, abi?",negative
na veri sad news be dis our mind dey wit di family and all naija pipu. rip isaac promise,negative
hin eyes don see plenti already. leave am...,negative
"henrikh mkhitaryan don get thigh wounjur and hin no fit tap ball for three weeks as hin go dey recover. sharpaly com back, mkhi",negative
"yes, we know. but you also know say na at your risk. even the betting company wey you carry your money give dey yarn you say na your risk...",negative
"guy, admin don go sleep. na hin assistant be dis. call back tomorrow...",negative
no vex. evri where burst dis night. we all go shine teeth tomorrow...,negative
no be small somtin,negative
"guy, you no try o you just make us mute com throway di remote",negative
"""make we talk wit church mind: we no plum today, atalanta beta pass us dis night. we nid learn from am and continue to dey work hard to do beta."" - oga paulo fonseca",negative
"""i dey happy say i make my debut but my belle no sweet onto say we no win. we nid try make we no dey dull oursef for house laidis for matches wey remain dis season."" - smalling",negative
"""na all of dem com dia complete. and dem all sidon wit coole mind i serve dem shayo, all man get wetin dem dey drink. we com send you invite, you no com! your bad belle and stubborn head na hin no make you com becos if pesin dey jolli onto say somtin sweet hapun you no dey happy""",negative
how you wan take catch breeze wit your hand? 🤷‍️,negative
i get am befor no be property,negative
85' mancini don chop red card! na hin second yellow card be dat afta hin jam wit santander. 1⃣-1⃣,negative
️ sub oga paulo bin don comot kluivert for zaniolo befor bologna score eqwaliser. 1⃣-1⃣,negative
haters go talk say no be fact,negative
how you take know? winch plenti for naija,negative
loud am,negative
"one win no go win di league, so we don dey training ground again! ️",negative
as roma pidgin admin dey com tweet somtin wey sweet about di club but sassuolo tear net 🤦‍️ 4⃣-1⃣,negative
when international break dey for your tv but you no fit stop to dey reason fixtures of club football for weekend,negative
"oga paulo fonseca: ""chris smalling don get one shikini groin wounjur laidat and e no tey wey e hapun. e no serious at all but we no go risk am say make hin play dis weekend, we want make hin fit wella &amp; we get plenti matches afta dis one wey we nid evribodi for.""",negative
⏹️ full time di game sweet wella but na one point we see carry comot for olimpico. kolarov give us lead wit penarity befor luis alberto eqwalise.,negative
bar dey jealous net today. we sef no undastand,negative
ℹ️ update to team tori davide zappacosta bin wounjur during warm-up - so justin kluivert go start di match for .,negative
no time to check time again now! time to go do di work!!! wetin be una prediction for,negative
you get am? na di goal wey no dey dia be dis...,negative
chai! di kain temptation wey dis man dey bring ehn 🤔,negative
today na drop more @,negative
"""wia roma admin dey since nah? hin don gas out wit all those tweets ni?"" *when roma admin show face again for …",negative
dat w no go pass us by dis time,negative
you no even know your own handle 🤦‍️,negative
fans get till thursday to kolobi dia mini-season tickets for europa league group stage. 2019/20 season tickets sef still dey ground... ️,negative
""" fire hot shot from outside box 18 wit shaolin temple style but goaliekeeper push am comot!""",negative
"we don find out afta medical test say diego perotti don get thigh wounjur. no shakement, diego, we go jam for field again soon!",negative
"dat one no be wahala at all, becos when dog dey bark anyhow lion go jus dey relax dey look like say e no consine am. dem no nid tell di dog say lion get mouth pass am.",negative
squad goals wolves dey always waka togeda when dem wan achieve somtin,negative
swear say you no ünderstand wetin we dey talk,negative
becos you dey fear say we go flog your club again? we dey com back next season. na make una no qwalify so we no go jam again...,negative
️ our pre-season continue on wednesday! athletic bilbao na our opponents for perugia... kolobi tickets for hia ️,negative
"na proofreading/editing i dey do oh, make hunger no carry my matter play kalo kalo...",negative
"artillery, port harcourt. e dey rain here but we chook head.",negative
roma pidgin admin no undastand dis kain pidgin o,negative
"71' oga paulo don make hìn fess subs for dis match. perotti, antonucci and pellegrini go enta for kluivert, ünder and diawara wey dey comot go sidon for bench. 1⃣-2️⃣",negative
players don enta field back. second half don start so. oga paulo neva comot any player for half-time. 1⃣-0⃣,negative
you fit chook eyes for,negative
ht: 5⃣-0⃣ tor sapienza leonardo spinazzola don tear net for di fess time for roma as emanuele spinozzi and patrik schick also score befor referee fire whistle for half time.,negative
"haqhaqhaqhaq bbc, next time afta una don joke una suppose let evribodi know say na joke una dey. which pidgin wan sweet pass again?",negative
"since we don launch di missing pikins transfer announcement for our social media lungu on june 30, we don show 3⃣4⃣ different pikins wey don loss &amp; dem pipu miss dem. no mata how long dem don loss, nobodi fit forget dem.",negative
"you forget add ""of life""",negative
how e take consine you?,negative
no wahala your mind wit confusion. di two both of dem na di same. it's for nigeroma! 🇳🇬🇮🇹,negative
you still neva know? see dulling o!,negative
lagos traffic too mad! chai! you go dey go slow for like 3 hours and you go reach wia e start and you go see notin e dey mad pesin! nawa o...,negative
"rain no dey collect permission again to fall anyhow for lagos, but naija pipu still dey street dey hustle sha",negative
we still neva ünderstand how pipu go dey ask for follow back and dem no dey follow us at all 🤔,negative
our followers just dey pamilerin anyhow 🤣🤣🤣,negative
no o! you wan make barcelona vex for us say we chop dia eye again?,negative
dey very sad onto di passing of former spain sabi player jose antonio reyes. our thinkings and mind dey wit hin family and friends for dis kain hard time,negative
dem still dey try ünderstand how di ball take enter tear net for turkey today as dem waya greece 2-1.,negative
"di club really dey sad as we hear about luciano spalletti (our former coachie &amp; present coachie of inter) brother, wey no dey again our thinkings and mind dey wit di coachie and hin family",negative
our follow-follow camera dey follow just one pesin yestaday...,negative
plenty tears dey for background of dis two pictures,negative
"we no do buy am first. no credit today, come back tomorrow ‍",negative
"wozz wobi, sassuolo! we don show. wia una dey hide dat 3 points?",negative
we go too miss you,negative
good morning to all fans for world! ️ if you want confam com chop dis tuwo (2-0) wit us 🤭🤣,negative
18' chop bar! pellegrini shot chop bar afta el shawarma carry beta assist dash am! 0⃣-0⃣,negative
"we really sorry to hear dis kain news, vinnot (our ogbonge art designer). our prayers and mind dey wit your mama and rest of di family. she go com out wella ️",negative
21' game don dey hot wella now. home team don get 2 chances and we sef don out fear for genoa defence small. 0⃣-0⃣,negative
"no laffing men dem carry game face wear... genoa, we don show! who dey house?",negative
"""wia roma admin dey since nah? hin don gas out wit all those tweets ni?"" *when roma admin show face again for *",negative
🤐 but how dis one take consine us nah? 🤷,negative
som pipu still dey argue naija jollof 🆚 ghanaian jollof,negative
happy baiday to rome! ️ city wey make correct brain!!!! ️,negative
as our opponents tanda...,negative
you think say you sabi el shaarawy wella? 🤔 do dis test for our website...,negative
"forget di gbege, tweet about",negative
if dem yarn say pesin always dey dey on point na totti dem dey yarn about dis balling still full baba bodi remain for ground like sand sand,negative
"ranieri: ""sake of say we keep clean sheet for our last two matches, &amp; we bin sweat wella to make am shele, e go don give di players beta confido. we know say we nid fight until season close shop and we gaz show fans say we wan do beta until when season end.""",negative
you sef sabi...,negative
and so? 🤷 wetin com happen?,negative
"what if we tell una say una dey top table for league right now, una go gree? 🤣",negative
why? 🤷,neutral
gooooooooooooooooooooal!!! epp tear net! 1-0,negative
46' second half don start! daje roma! we nid som goals abeg... 0-0,negative
"3' mandragora bin wan cause trouble now wit shot wey hin fire, but mirante use sabiness punch am throway. 0-0",negative
ballers don show for olimpico!,negative
watch match live for hia. na dia last home match for dis season be dis... !,negative
